X,Y,GEOID10,TRACTID,GISJN_TCT,coord_query
-84.41152606324344,33.6950301610596,13121007500,13121007500,G13121007500,"G13121007500.csv, 33.6950301610596, -84.4115260632434"
-84.38515568468151,33.77678412590035,13121001202,13121001202,G13121001202,"G13121001202.csv, 33.7767841259003, -84.3851556846815"
-84.38621778121394,33.809010135901715,13121009102,13121009102,G13121009102,"G13121009102.csv, 33.8090101359017, -84.3862177812139"
-84.39698615768185,33.80937554067801,13121009101,13121009101,G13121009101,"G13121009101.csv, 33.809375540678, -84.3969861576819"
-84.38030494540708,33.776374342057295,13121001201,13121001201,G13121001201,"G13121001201.csv, 33.7763743420573, -84.3803049454071"
-84.36934910886598,33.75800533901098,13121002900,13121002900,G13121002900,"G13121002900.csv, 33.758005339011, -84.369349108866"
-84.36202996804236,33.9204281721209,13121010110,13121010110,G13121010110,"G13121010110.csv, 33.9204281721209, -84.3620299680424"
-84.34574120420703,34.01925989805108,13121011405,13121011405,G13121011405,"G13121011405.csv, 34.0192598980511, -84.345741204207"
-84.32896028891862,33.98297840306829,13121010106,13121010106,G13121010106,"G13121010106.csv, 33.9829784030683, -84.3289602889186"
-84.28912452287881,33.98801692715882,13121011410,13121011410,G13121011410,"G13121011410.csv, 33.9880169271588, -84.2891245228788"
-84.30229602535036,33.97462263152655,13121010107,13121010107,G13121010107,"G13121010107.csv, 33.9746226315266, -84.3022960253504"
-84.42331536282416,33.779933403719106,13121000700,13121000700,G13121000700,"G13121000700.csv, 33.7799334037191, -84.4233153628242"
-84.39953941605229,33.7763248793997,13121001002,13121001002,G13121001002,"G13121001002.csv, 33.7763248793997, -84.3995394160523"
-84.4105984343738,33.731861349169264,13121005800,13121005800,G13121005800,"G13121005800.csv, 33.7318613491693, -84.4105984343738"
-84.49155629989893,33.73228765041057,13121007900,13121007900,G13121007900,"G13121007900.csv, 33.7322876504106, -84.4915562998989"
-84.44432758527613,33.77585627976647,13121008500,13121008500,G13121008500,"G13121008500.csv, 33.7758562797665, -84.4443275852761"
-84.46619169875923,33.78145163269892,13121008601,13121008601,G13121008601,"G13121008601.csv, 33.7814516326989, -84.4661916987592"
-84.36802320642845,33.97186001869348,13121010209,13121010209,G13121010209,"G13121010209.csv, 33.9718600186935, -84.3680232064284"
-84.41875704286429,33.79815731116197,13121008902,13121008902,G13121008902,"G13121008902.csv, 33.798157311162, -84.4187570428643"
-84.39014789839406,33.9261480135046,13121010205,13121010205,G13121010205,"G13121010205.csv, 33.9261480135046, -84.3901478983941"
-84.38020602731751,33.95322229316042,13121010210,13121010210,G13121010210,"G13121010210.csv, 33.9532222931604, -84.3802060273175"
-84.45925103038935,33.7949890440272,13121008700,13121008700,G13121008700,"G13121008700.csv, 33.7949890440272, -84.4592510303894"
-84.4572757020234,33.66103335505024,13121010601,13121010601,G13121010601,"G13121010601.csv, 33.6610333550502, -84.4572757020234"
-84.3916063665734,33.750836709575374,13121003500,13121003500,G13121003500,"G13121003500.csv, 33.7508367095754, -84.3916063665734"
-84.36553932270374,33.99106231428885,13121010208,13121010208,G13121010208,"G13121010208.csv, 33.9910623142888, -84.3655393227037"
-84.19160554110583,34.075151007270094,13121011624,13121011624,G13121011624,"G13121011624.csv, 34.0751510072701, -84.1916055411058"
-84.40292043720224,33.75187517517396,13121003600,13121003600,G13121003600,"G13121003600.csv, 33.751875175174, -84.4029204372022"
-84.38269123266561,33.753936802277565,13121011900,13121011900,G13121011900,"G13121011900.csv, 33.7539368022776, -84.3826912326656"
-84.408878485032,33.77091695044427,13121011800,13121011800,G13121011800,"G13121011800.csv, 33.7709169504443, -84.408878485032"
-84.4394428146727,33.661339956902964,13121012300,13121012300,G13121012300,"G13121012300.csv, 33.661339956903, -84.4394428146727"
-84.39282305899292,33.7361407565277,13121012000,13121012e3,G13121012000,"G13121012000.csv, 33.7361407565277, -84.3928230589929"
-84.47640220283662,33.59196641175697,13121010508,13121010508,G13121010508,"G13121010508.csv, 33.591966411757, -84.4764022028366"
-84.47546182158747,33.608581983830156,13121010507,13121010507,G13121010507,"G13121010507.csv, 33.6085819838302, -84.4754618215875"
-84.47320876003798,33.62807181298444,13121010604,13121010604,G13121010604,"G13121010604.csv, 33.6280718129844, -84.473208760038"
-84.38099753548283,33.671823770826684,13121007300,13121007300,G13121007300,"G13121007300.csv, 33.6718237708267, -84.3809975354828"
-84.27512379580325,34.00774990026622,13121011414,13121011414,G13121011414,"G13121011414.csv, 34.0077499002662, -84.2751237958033"
-84.46874104371473,33.645597435980044,13121010603,13121010603,G13121010603,"G13121010603.csv, 33.64559743598, -84.4687410437147"
-84.31655166414912,34.00465661743046,13121011411,13121011411,G13121011411,"G13121011411.csv, 34.0046566174305, -84.3165516641491"
-84.29957673851973,34.022602302623774,13121011412,13121011412,G13121011412,"G13121011412.csv, 34.0226023026238, -84.2995767385197"
-84.36470959539135,33.944138832854314,13121010123,13121010123,G13121010123,"G13121010123.csv, 33.9441388328543, -84.3647095953913"
-84.35484594087497,33.798954901144214,13121000100,13121000100,G13121000100,"G13121000100.csv, 33.7989549011442, -84.354845940875"
-84.3734172780096,34.00493222599835,13121011422,13121011422,G13121011422,"G13121011422.csv, 34.0049322259984, -84.3734172780096"
-84.37099990516998,34.07936275999941,13121011505,13121011505,G13121011505,"G13121011505.csv, 34.0793627599994, -84.37099990517"
-84.14621024897143,34.045487466652915,13121011622,13121011622,G13121011622,"G13121011622.csv, 34.0454874666529, -84.1462102489714"
-84.26241556402906,34.00438141918904,13121011424,13121011424,G13121011424,"G13121011424.csv, 34.004381419189, -84.2624155640291"
-84.51051111728444,33.612680717179636,13121010511,13121010511,G13121010511,"G13121010511.csv, 33.6126807171796, -84.5105111172844"
-84.18856444084133,34.06149925852897,13121011626,13121011626,G13121011626,"G13121011626.csv, 34.061499258529, -84.1885644408413"
-84.74456421854264,33.90816517751639,13223120202,13223120202,G13223120202,"G13223120202.csv, 33.9081651775164, -84.7445642185426"
-84.96241670417662,33.876834438414306,13223120400,13223120400,G13223120400,"G13223120400.csv, 33.8768344384143, -84.9624167041766"
-84.82355097231135,34.01015742771068,13223120103,13223120103,G13223120103,"G13223120103.csv, 34.0101574277107, -84.8235509723114"
-84.8559929402053,33.92351882255083,13223120302,13223120302,G13223120302,"G13223120302.csv, 33.9235188225508, -84.8559929402053"
-84.86517899274716,33.88475316778803,13223120303,13223120303,G13223120303,"G13223120303.csv, 33.884753167788, -84.8651789927472"
-84.78237805861413,33.981488010734665,13223120102,13223120102,G13223120102,"G13223120102.csv, 33.9814880107347, -84.7823780586141"
-84.76894065839112,33.93192295790318,13223120204,13223120204,G13223120204,"G13223120204.csv, 33.9319229579032, -84.7689406583911"
-84.4267371988493,33.53782860426574,13063040514,13063040514,G13063040514,"G13063040514.csv, 33.5378286042657, -84.4267371988493"
-84.81511975497654,33.932115891063326,13223120301,13223120301,G13223120301,"G13223120301.csv, 33.9321158910633, -84.8151197549765"
-84.3302410623031,33.607405842189934,13063040407,13063040407,G13063040407,"G13063040407.csv, 33.6074058421899, -84.3302410623031"
-84.42691735554801,33.5877109346976,13063040510,13063040510,G13063040510,"G13063040510.csv, 33.5877109346976, -84.426917355548"
-84.37172472518792,33.63355590267354,13063040302,13063040302,G13063040302,"G13063040302.csv, 33.6335559026735, -84.3717247251879"
-84.36342915347582,33.54574198269859,13063040611,13063040611,G13063040611,"G13063040611.csv, 33.5457419826986, -84.3634291534758"
-84.35087365799377,33.634307006327816,13063040303,13063040303,G13063040303,"G13063040303.csv, 33.6343070063278, -84.3508736579938"
-84.43256933930185,33.63500956736593,13063980000,1306398e4,G13063980000,"G13063980000.csv, 33.6350095673659, -84.4325693393018"
-84.35985294928024,33.47730995549505,13063040622,13063040622,G13063040622,"G13063040622.csv, 33.4773099554951, -84.3598529492802"
-84.36266731498671,33.59651646243802,13063040307,13063040307,G13063040307,"G13063040307.csv, 33.596516462438, -84.3626673149867"
-84.3572395031237,33.56335589905513,13063040417,13063040417,G13063040417,"G13063040417.csv, 33.5633558990551, -84.3572395031237"
