GEOID10,TRACTID,GISJN_TCT,cty_fips,class_mm,class_mm_char,elev_m,develop_pct,prcp,tmax,tmin,totpop,white_nh,afam_nh,natam_nh,asian_nh,hisp,fb_pop,nonga_pop,ga_pop,cmute_car,cmute_carp,cmute_public,cmute_bike,cmute_walk,cmute_home,medinc,povpop_50pct,popop_99pct,inc_10K,inc_150K,inc_200K,tenure_own,tenure_rent,ind_ag,ind_const,ind_manuf,ind_wholetrd,ind_retltrd,ind_transp,ind_info,ind_finance,ind_prof,ind_ed,ind_arts,ind_public
13045910400,13045910400,G13045910400,13045,2,"White, low diversity",344.4486748696626,2.19,1497.3333333333333,22.071689497716896,9.580821917808219,3326,93.4,4.7,0,0,0.7,0.5,27.2,71.7,83.6,12.8,0,0,1.5,1.5,39549,4.9,4.9,4.3,2,1.7,66.8,33.2,1,7.3,17.4,3.3,7.3,8.1,0,0.8,9.5,29.4,7.2,3.9
13045910702,13045910702,G13045910702,13045,2,"White, low diversity",345.23866949959705,3.99,1551.6666666666667,21.878995433789957,9.742922374429224,8052,80.6,11,0,0.5,3.7,3.9,37.7,57.8,79.9,13.5,1,0,0.5,4.6,60407,14.8,14.8,9.1,3.8,3.7,88.3,11.7,1.6,10.6,13.1,0.9,12.1,9.5,2.8,3.6,7.4,23.4,6.7,5.7
13045911200,13045911200,G13045911200,13045,2,"White, low diversity",320.3480947093854,2.3,1474,22.477625570776258,9.759360730593606,5615,80.3,15.7,0.3,0.2,0.2,0,21.7,78.1,87.2,7,0.2,0.7,1,2.5,46301,8.4,8.4,3.3,1.2,3.9,68.8,31.2,1.5,9.8,27.5,1.8,7.5,4.6,1.4,2.7,2.4,24.8,5,5.7
13057090701,13057090701,G13057090701,13057,2,"White, low diversity",292.9208187629463,21.47,1437,22.317351598173516,9.908675799086758,20202,81,7.5,0,2.4,7.6,8.4,48.5,41.8,83.5,6.1,0.8,0,0,9.2,73470,5.7,5.7,5.5,10.3,4.6,76,24,0.6,8.5,8.8,3.6,16,1.4,2.2,9.4,13.7,22,6.9,2.3
13057091101,13057091101,G13057091101,13057,2,"White, low diversity",275.2865734402503,7.22,1402.6666666666667,22.393150684931506,9.86849315068493,5849,81.1,13.1,0,0,2.8,6.5,45.5,45.4,80.7,10,0.7,0,0,7,67574,2.2,2.2,0.9,9.7,8.9,84,16,0,5.5,11.8,5.3,19.7,5,2.9,11.9,11,13.2,6.1,4.5
13057091103,13057091103,G13057091103,13057,8,"White, moderate diversity",282.7983115048793,14.24,1379,22.39041095890411,9.867579908675799,9385,77.7,9.6,0.1,4.3,8,9.8,44.6,43.2,82.7,11.7,0.3,0,0,4.8,67885,2.8,2.8,2.4,7.7,0.6,80,20,0,5.7,10,3.1,14.8,7.4,4.1,5.5,12.9,17.5,11.7,3.5
13057091005,13057091005,G13057091005,13057,8,"White, moderate diversity",302.4604386283776,45.49,1396.3333333333333,22.230593607305938,9.893607305936072,7512,78.4,6.3,0,1.3,13.7,14.9,38.1,46,73.9,13.8,0,0,0,7.8,56815,5.7,5.7,4.1,8.6,1.9,71.6,28.4,0,8.9,8.3,4.7,16.2,2.9,2.3,5.9,15.4,16.8,9.9,2.9
13057091006,13057091006,G13057091006,13057,2,"White, low diversity",306.9732510288066,48.78,1407.3333333333333,22.215525114155252,9.857534246575343,4951,90.4,2.7,0,0.4,5.4,3.9,54.9,41.1,80.3,7.5,0.3,0,0.3,6.3,98696,1.8,1.8,4.2,28.2,4.8,83.6,16.4,0,1.6,10.9,2.7,12.1,3.7,4.8,9.9,17.1,20.7,7,0.9
13057090502,13057090502,G13057090502,13057,2,"White, low diversity",343.74996680534656,6.05,1546.6666666666667,21.800456621004567,9.897260273972602,13645,88.1,1,0,0.7,8.8,3.1,44.3,51,78.9,5.9,0.5,0,1.3,11.6,96964,0.3,0.3,0,18.9,18.2,92.6,7.4,0.5,2.8,13.7,3.7,13.1,3.3,4.5,11.1,14.9,17,6.7,4.5
13057090100,13057090100,G13057090100,13057,2,"White, low diversity",346.0382440520949,2.33,1457.6666666666667,22.31461187214612,10.214155251141552,8965,91.2,2.2,0,0.6,4.5,4.5,29.4,65.5,77.9,11.5,0,0,1.2,7.9,61004,1.6,1.6,0.5,4.2,5.1,82.6,17.4,1.7,8.4,17.8,3.2,9.4,5.2,0.8,4.8,13.2,20.1,5.2,4.9
13057090200,13057090200,G13057090200,13057,2,"White, low diversity",363.3075102434517,0.81,1460.3333333333333,21.993150684931507,9.771689497716896,8360,85.7,4.9,0.2,3.2,1.8,1.6,36.5,61.6,78.9,12.6,0.5,0,1.1,6.1,66850,2.3,2.3,1.2,5.8,7.2,80.6,19.4,0.3,14.2,9.1,2.8,12.2,5.5,2.1,5.4,5.7,23.7,13.2,2.6
13057090702,13057090702,G13057090702,13057,2,"White, low diversity",324.8888888888889,22.18,1451.3333333333333,22.148858447488585,9.883561643835616,7836,80.1,6.3,0,0.3,12.4,6.6,36,56.6,83.3,6.6,0,0,2,8,59110,5.3,5.3,3.9,5.6,0,72,28,0.3,12.7,12.8,2.4,9.7,3.8,3.7,5.4,16.4,20.7,8.4,1.4
13057090901,13057090901,G13057090901,13057,2,"White, low diversity",289.4708085920376,10.87,1422.3333333333333,22.255707762557076,10.038812785388128,7930,85.3,5.4,0.5,0,6,8.2,43.4,47.9,83.5,5.1,1,0,0.3,8.1,92686,2.5,2.5,1.5,15.9,6.6,88.1,11.9,0,11.6,6.5,3.4,11.8,6.2,4.2,6.9,18.7,17.4,6.8,2.3
13057090602,13057090602,G13057090602,13057,8,"White, moderate diversity",316.9608007288307,11.2,1474.3333333333333,22.29132420091324,9.997260273972604,7952,70.6,5.7,0.6,0.5,18.1,13.7,41.1,44.8,78.6,11,0,0,1.6,6.2,61250,5.7,5.7,2.7,7.9,9.8,73.7,26.3,1.1,10.3,18.1,2.9,9,3.2,3.4,6.1,11.2,16.5,10.9,3.9
13057090400,13057090400,G13057090400,13057,8,"White, moderate diversity",319.3095875009692,15.24,1512.3333333333333,22.021461187214612,9.875342465753425,10088,62.9,10.9,0,0.7,24.4,16.4,29.6,53.2,75.3,14.7,0,0,3.1,5.5,38577,10.5,10.5,4.3,1.9,1.9,37.7,62.3,0.8,8.1,13.6,1.1,15,1.1,1.1,4.3,14.7,15.8,11.2,4.9
13057090601,13057090601,G13057090601,13057,8,"White, moderate diversity",311.35775350758786,14.54,1470.6666666666667,22.156621004566208,9.88675799086758,7260,65,5.6,0.1,0,28.9,15.7,24.7,59,72.9,13.1,0,0,2.5,7.1,51353,7.5,7.5,1.9,2.7,6.2,46.3,53.7,1.6,13.7,5,1,14.4,2.6,3.8,8,13.2,16.5,12.3,3.5
